time,issue_id,event_id,type,author,action,url
2025-01-20 14:21:24+00:00,25,15999683477,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board/issues/25
2025-01-20 14:21:24+00:00,25,15999683490,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/25
2025-01-20 14:21:24+00:00,25,15999683497,label,NicolasToussaint,labeled Strategy Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/25
2025-01-20 14:21:21+00:00,24,15999682796,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board/issues/24
2025-01-20 14:21:21+00:00,24,15999682804,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/24
2025-01-20 14:21:21+00:00,24,15999682811,label,NicolasToussaint,labeled Strategy Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/24
2025-01-20 14:21:18+00:00,23,15999682121,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board/issues/23
2025-01-20 14:21:18+00:00,23,15999682129,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/23
2025-01-20 14:21:18+00:00,23,15999682141,label,NicolasToussaint,labeled Strategy Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/23
2025-01-20 14:21:15+00:00,22,15999681416,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board/issues/22
2025-01-20 14:21:16+00:00,22,15999681426,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/22
2025-01-20 14:21:16+00:00,22,15999681432,label,NicolasToussaint,labeled Strategy Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/22
2025-01-20 14:21:12+00:00,21,15999680673,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board/issues/21
2025-01-20 14:21:12+00:00,21,15999680685,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/21
2025-01-20 14:21:12+00:00,21,15999680688,label,NicolasToussaint,labeled Strategy Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/21
2025-01-20 14:19:09+00:00,20,15999652002,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board/issues/20
2025-01-20 14:19:09+00:00,20,15999652017,label,NicolasToussaint,labeled Engagement Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/20
2025-01-20 14:19:09+00:00,20,15999652031,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/20
2025-01-20 14:19:06+00:00,19,15999651409,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board/issues/19
2025-01-20 14:19:06+00:00,19,15999651416,label,NicolasToussaint,labeled Engagement Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/19
2025-01-20 14:19:06+00:00,19,15999651430,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/19
2025-01-20 14:19:03+00:00,18,15999650778,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board/issues/18
2025-01-20 14:19:03+00:00,18,15999650787,label,NicolasToussaint,labeled Engagement Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/18
2025-01-20 14:19:03+00:00,18,15999650795,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/18
2025-01-20 14:19:03+00:00,18,15999650801,label,NicolasToussaint,labeled Team Leader,https://github.com/NicolasToussaint/my-ggi-board/issues/18
2025-01-20 14:19:01+00:00,17,15999650191,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board/issues/17
2025-01-20 14:19:01+00:00,17,15999650200,label,NicolasToussaint,labeled Engagement Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/17
2025-01-20 14:19:01+00:00,17,15999650208,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/17
2025-01-20 14:18:58+00:00,16,15999649521,label,NicolasToussaint,labeled Decision Maker,https://github.com/NicolasToussaint/my-ggi-board/issues/16
2025-01-20 14:18:58+00:00,16,15999649532,label,NicolasToussaint,labeled Developer,https://github.com/NicolasToussaint/my-ggi-board/issues/16
2025-01-20 14:18:58+00:00,16,15999649541,label,NicolasToussaint,labeled Engagement Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/16
2025-01-20 14:18:58+00:00,16,15999649551,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/16
2025-01-20 14:18:55+00:00,15,15999648863,label,NicolasToussaint,labeled Culture Goal,https://github.com/NicolasToussaint/my-ggi-board/issues/15
2025-01-20 14:18:55+00:00,15,15999648870,label,NicolasToussaint,labeled Developer,https://github.com/NicolasToussaint/my-ggi-board/issues/15
2025-01-20 14:18:55+00:00,15,15999648875,label,NicolasToussaint,labeled Not Selected,https://github.com/NicolasToussaint/my-ggi-board/issues/15
2025-01-20 14:18:55+00:00,15,15999648878,label,NicolasToussaint,labeled Team Leader,https://github.com/NicolasToussaint/my-ggi-board/issues/15
